collection,judge,budget_full_eq,eps,method,act,wrong
dbpedia-entity,llm,30,0.01,human_full,0.02666666666666667,0.0033333333333333335
dbpedia-entity,llm,30,0.01,human_weighted,0.02666666666666667,0.0
dbpedia-entity,llm,30,0.01,judge_ppi,0.02666666666666667,0.0
dbpedia-entity,llm,30,0.01,weighted_cv,0.05,0.0
dbpedia-entity,llm,30,0.02,human_full,0.05333333333333334,0.0
dbpedia-entity,llm,30,0.02,human_weighted,0.08,0.0
dbpedia-entity,llm,30,0.02,judge_ppi,0.09666666666666666,0.0
dbpedia-entity,llm,30,0.02,weighted_cv,0.15,0.0
dbpedia-entity,llm,30,0.05,human_full,0.34,0.0
dbpedia-entity,llm,30,0.05,human_weighted,0.38,0.0
dbpedia-entity,llm,30,0.05,judge_ppi,0.38333333333333336,0.0
dbpedia-entity,llm,30,0.05,weighted_cv,0.53,0.0
dbpedia-entity,llm,60,0.01,human_full,0.14333333333333334,0.0
dbpedia-entity,llm,60,0.01,human_weighted,0.3,0.0
dbpedia-entity,llm,60,0.01,judge_ppi,0.25666666666666665,0.0
dbpedia-entity,llm,60,0.01,weighted_cv,0.4066666666666667,0.0
dbpedia-entity,llm,60,0.02,human_full,0.37,0.0
dbpedia-entity,llm,60,0.02,human_weighted,0.44333333333333336,0.0
dbpedia-entity,llm,60,0.02,judge_ppi,0.43333333333333335,0.0
dbpedia-entity,llm,60,0.02,weighted_cv,0.58,0.0
dbpedia-entity,llm,60,0.05,human_full,0.73,0.0
dbpedia-entity,llm,60,0.05,human_weighted,0.8966666666666666,0.0
dbpedia-entity,llm,60,0.05,judge_ppi,0.8666666666666667,0.0
dbpedia-entity,llm,60,0.05,weighted_cv,0.9533333333333334,0.0
dbpedia-entity,llm,90,0.01,human_full,0.3,0.0
dbpedia-entity,llm,90,0.01,human_weighted,0.37333333333333335,0.0
dbpedia-entity,llm,90,0.01,judge_ppi,0.38,0.0
dbpedia-entity,llm,90,0.01,weighted_cv,0.46,0.0
dbpedia-entity,llm,90,0.02,human_full,0.43,0.0
dbpedia-entity,llm,90,0.02,human_weighted,0.62,0.0
dbpedia-entity,llm,90,0.02,judge_ppi,0.58,0.0
dbpedia-entity,llm,90,0.02,weighted_cv,0.6666666666666666,0.0
dbpedia-entity,llm,90,0.05,human_full,0.81,0.0
dbpedia-entity,llm,90,0.05,human_weighted,0.9266666666666666,0.0
dbpedia-entity,llm,90,0.05,judge_ppi,0.9033333333333333,0.0
dbpedia-entity,llm,90,0.05,weighted_cv,0.95,0.0
