collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
dl2019,rr,glob_probe_vs_trunc,10,43,0.6994600431965443,0.6953073305102467,0.16462385113072317,0.06828647999719442,0.06287404914030494,1.179577805924586,1.9359295738933409,0.6335622294428312
dl2019,rr,glob_probe_vs_trunc,20,43,0.6994600431965443,0.6953073305102467,0.16462385113072317,0.04965906855172862,0.04859226226155478,1.0443904729586766,1.9359295738933409,0.6190249903394177
dl2019,rr,glob_probe_vs_trunc,30,43,0.6994600431965443,0.6953073305102467,0.16462385113072317,0.04038822753177809,0.040052859110989755,1.0168164007549394,1.9359295738933409,0.6227530968566427
dl2019,rr,glob_probe_vs_ad_probe,10,43,0.6994600431965443,0.43572082605541834,0.011185338536416066,0.012658481290593215,0.014030677464408375,0.8139653649874831,1.2343433395256482,0.3625815730176878
dl2019,rr,glob_probe_vs_ad_probe,20,43,0.6994600431965443,0.43572082605541834,0.011185338536416066,0.00919637731084316,0.010296299076474138,0.797758177226443,1.2343433395256482,0.36670414113349503
dl2019,rr,glob_probe_vs_ad_probe,30,43,0.6994600431965443,0.43572082605541834,0.011185338536416066,0.007573594863476645,0.008225547638660066,0.8477630723437676,1.2343433395256482,0.3509369315469036
dl2019,rr,trunc_vs_ad_probe,10,43,0.6994600431965443,0.6785607187380179,-0.15343851259430707,0.0651603912353282,0.06184640072141658,1.1100396872175844,1.853377967937938,0.5969900944385049
dl2019,rr,trunc_vs_ad_probe,20,43,0.6994600431965443,0.6785607187380179,-0.15343851259430707,0.04689350622896737,0.044910305665811896,1.0902683137289666,1.853377967937938,0.5991572628466202
dl2019,rr,trunc_vs_ad_probe,30,43,0.6994600431965443,0.6785607187380179,-0.15343851259430707,0.038653986035102485,0.038033106002790265,1.0329159485660855,1.853377967937938,0.6053026449991383
dl2020,rr,glob_probe_vs_trunc,10,54,0.6614263130159845,0.2671390619824741,0.14287498738635793,0.07360775255820862,0.07934851299818103,0.8605369653111524,1.076847357830901,0.25532150351644095
dl2020,rr,glob_probe_vs_trunc,20,54,0.6614263130159845,0.2671390619824741,0.14287498738635793,0.05292067509850974,0.055885821834811014,0.8967006152986305,1.076847357830901,0.22412773960397184
dl2020,rr,glob_probe_vs_trunc,30,54,0.6614263130159845,0.2671390619824741,0.14287498738635793,0.044018709477937595,0.045739818181418396,0.9261594108671971,1.076847357830901,0.21552383915177736
dl2020,rr,glob_probe_vs_ad_probe,10,54,0.6614263130159845,0.005936953928263485,0.06083545547704475,0.053102135632019744,0.06102452500049545,0.7572079411913658,1.0000352486643709,0.22211588035992033
dl2020,rr,glob_probe_vs_ad_probe,20,54,0.6614263130159845,0.005936953928263485,0.06083545547704475,0.03739830041412576,0.04055455346186326,0.8504024136275273,1.0000352486643709,0.15054865155825606
dl2020,rr,glob_probe_vs_ad_probe,30,54,0.6614263130159845,0.005936953928263485,0.06083545547704475,0.03131510909387293,0.03332284227878826,0.8831282611313606,1.0000352486643709,0.13277945599108026
dl2020,rr,trunc_vs_ad_probe,10,54,0.6614263130159845,0.6291252482906118,-0.08203953190931322,0.04423282338529933,0.042938022514564446,1.0612195544318375,1.6550772038083368,0.3441631357120425
dl2020,rr,trunc_vs_ad_probe,20,54,0.6614263130159845,0.6291252482906118,-0.08203953190931322,0.032790876580911836,0.032922672619456556,0.9920096258816354,1.6550772038083368,0.3615595562459319
dl2020,rr,trunc_vs_ad_probe,30,54,0.6614263130159845,0.6291252482906118,-0.08203953190931322,0.02751675928358307,0.027745979845536665,0.9835454561588496,1.6550772038083368,0.3979592096862446
